name,id,class,platforms,permissions
Outlook Rules,attack-pattern--3d1b9d7e-3921-4d25-845a-7d9f15c0da44,VMR,Windows;Office Suite,
Cloud Accounts,attack-pattern--3d52e51e-f6db-4719-813c-48002a99f43a,VMR,PRE,
Email Accounts,attack-pattern--3dc8c101-d4db-4f4d-8150-1b5a76ca5f1b,VMR,PRE,
Additional Local or Domain Groups,attack-pattern--3e6831b2-bf4c-4ae6-b328-2e7c6633b291,VMR,Windows;macOS;Linux,
Upload Malware,attack-pattern--3ee16395-03f0-4690-a32e-69ce9ada0f9e,VMR,PRE,
Steal or Forge Kerberos Tickets,attack-pattern--3fc01293-ef5e-41c6-86ce-61f10706b64a,VMR,Windows;Linux;macOS,
Remote Access Tools,attack-pattern--4061e78c-1284-44b4-9116-73e4ac3912f7,VMR,Linux;macOS;Windows,
Domains,attack-pattern--40f5caa0-4cb7-4117-89fc-d421bb493df3,VMR,PRE,
Archive via Library,attack-pattern--41868330-6ee2-4d0f-b743-9f2294c3c9b6,VMR,Linux;macOS;Windows,
Thread Execution Hijacking,attack-pattern--41d9846c-f6af-4302-a654-24bba2729bc6,VMR,Windows,
Masquerading,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,VMR,Containers;ESXi;Linux;macOS;Windows,
Application Shimming,attack-pattern--42fe883a-21ea-4cfb-b94a-78b6476dcc83,VMR,Windows,
Port Monitors,attack-pattern--43881e51-ac74-445b-b4c6-f9f9e9bf23fe,VMR,Windows,
Clear Mailbox Data,attack-pattern--438c967d-3996-4870-bfc2-3954752a1927,VMR,Linux;macOS;Office Suite;Windows,
Login Hook,attack-pattern--43ba2b05-cf72-4b6c-8243-03a4aba41ee0,VMR,macOS,
Content Injection,attack-pattern--43c9bc06-715b-42db-972f-52d25c09a20c,VMR,Linux;macOS;Windows,
Process Injection,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,VMR,Linux;macOS;Windows,
Traffic Signaling,attack-pattern--451a9977-d255-43c9-b431-66de80130c8c,VMR,Linux;macOS;Network Devices;Windows,
System Binary Proxy Execution,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4,VMR,Windows;Linux;macOS,
Timestomp,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611,VMR,ESXi;Linux;macOS;Windows,
Evil Twin,attack-pattern--48b836c6-e4ca-435a-82a3-29c03e5b492e,VMR,Network Devices,
Reflective Code Loading,attack-pattern--4933e63b-9b77-476e-ab29-761bc5b7d15a,VMR,Linux;macOS;Windows,
Wi-Fi Discovery,attack-pattern--494ab9f0-36e0-4b06-b10d-57285b040a06,VMR,Linux;Windows;macOS,
Mutual Exclusion,attack-pattern--49fca0d2-685d-41eb-8bd4-05451cc3a742,VMR,Linux;macOS;Windows,
Ignore Process Interrupts,attack-pattern--4a2975db-414e-4c0c-bd92-775987514b4b,VMR,Linux;macOS;Windows,
Escape to Host,attack-pattern--4a5b7ade-8bb5-4853-84ed-23f262002665,VMR,Windows;Linux;Containers;ESXi,
Backup Software Discovery,attack-pattern--4a6cfdae-1417-40c7-a84e-f59d21c58266,VMR,Windows;macOS;Linux,
Shortcut Modification,attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179,VMR,Windows,
Application Window Discovery,attack-pattern--4ae4f953-fe58-4cc8-a327-33257e30a830,VMR,Linux;Windows;macOS,
Email Account,attack-pattern--4bc31b94-045b-4752-8920-aebaebdb6470,VMR,Windows;Office Suite,
Time Based Checks,attack-pattern--4bed873f-0b7d-41d4-b93a-b6905d1f90b0,VMR,Linux;macOS;Windows,
CMSTP,attack-pattern--4cbc6a62-9e34-4f94-8a19-5c1a11392a49,VMR,Windows,
Disable Windows Event Logging,attack-pattern--4eb28bed-d11a-4641-9863-c2ac017d910a,VMR,Windows,
Scheduled Transfer,attack-pattern--4eeaf8a9-c86b-4954-a663-9555fb406466,VMR,Linux;macOS;Windows,
Protocol Tunneling,attack-pattern--4fe28b27-b13c-453e-a386-c2ef362a573b,VMR,ESXi;Linux;macOS;Windows,
Control Panel,attack-pattern--4ff5d6a8-c062-4c68-a778-36fc5edd564f,VMR,Windows,
Network Address Translation Traversal,attack-pattern--4ffc1794-ec3b-45be-9e52-42dbcb2af2de,VMR,Network Devices,
Upload Tool,attack-pattern--506f6f49-7045-4156-9007-7474cb44ad6d,VMR,PRE,
Security Support Provider,attack-pattern--5095a853-299c-4876-abd7-ac0050fb5462,VMR,Windows,
Threat Intel Vendors,attack-pattern--51e54974-a541-4fb6-a61b-0518e4c6de41,VMR,PRE,
Exfiltration Over Other Network Medium,attack-pattern--51ea26b1-ff1e-4faa-b1a0-1114cd298c87,VMR,Linux;macOS;Windows,
Network Device Configuration Dump,attack-pattern--52759bf1-fe12-4052-ace6-c5b0cf7dd7fd,VMR,Network Devices,
Gather Victim Identity Information,attack-pattern--5282dd9a-d26d-4e16-88b7-7c0f4553daf4,VMR,PRE,
Disable or Modify System Firewall,attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Archive Collected Data,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a,VMR,Linux;macOS;Windows,
SIP and Trust Provider Hijacking,attack-pattern--543fceb5-cb92-40cb-aacf-6913d4db58bc,VMR,Windows,
Browser Session Hijacking,attack-pattern--544b0346-29ad-41e1-a808-501bb4193f47,VMR,Windows,
Mail Protocols,attack-pattern--54b4c251-1f0e-4eba-ba6b-dbc7a6f6f06b,VMR,Linux;macOS;Network Devices;Windows,
Vulnerability Scanning,attack-pattern--5502c4e9-24ef-4d5f-8ee9-9e906c2f82c4,VMR,PRE,
Search Open Technical Databases,attack-pattern--55fc4df0-b42c-479a-b860-7a6761bcaad0,VMR,PRE,
Electron Applications,attack-pattern--561ae9aa-c28a-4144-9eec-e7027a14c8c3,VMR,Linux;macOS;Windows,
Rogue Domain Controller,attack-pattern--564998d8-ab3e-4123-93fb-eccaa6b9714a,VMR,Windows,
Code Signing Policy Modification,attack-pattern--565275d5-fcc3-4b66-b4e7-928e4cac6b8c,VMR,Windows;macOS,
Modify Registry,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,VMR,Windows,
Launch Daemon,attack-pattern--573ad264-1371-4ae0-8482-d2673b719dba,VMR,macOS,
Credentials from Web Browsers,attack-pattern--58a3e6aa-4453-4cc8-a51f-4befe80b31a8,VMR,Linux;macOS;Windows,
Path Interception by Search Order Hijacking,attack-pattern--58af3705-8740-4c68-9329-ec015a7013c2,VMR,Windows,
DHCP Spoofing,attack-pattern--59ff91cd-1430-4075-8563-e6f15f4f9ff5,VMR,Linux;Windows;macOS,
Binary Padding,attack-pattern--5bfccc3f-2326-4112-86cc-c1ece9d8a2b5,VMR,Linux;Windows;macOS,
Web Shell,attack-pattern--5d0d3609-d06d-49e1-b9c9-b544e0c618cb,VMR,Linux;macOS;Network Devices;Windows,
Group Policy Modification,attack-pattern--5d2be8b9-d24c-4e98-83bf-2f5f79477163,VMR,Windows,
Browser Information Discovery,attack-pattern--5e4a2073-9643-44cb-a0b5-e7f4048446c7,VMR,Linux;macOS;Windows,
Private Keys,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf,VMR,Linux;macOS;Network Devices;Windows,
Server,attack-pattern--60c4b628-4807-4b0b-bbf5-fdac8643c337,VMR,PRE,
Exfiltration Over Bluetooth,attack-pattern--613d08bc-e8f4-4791-80b0-c8b974340dfd,VMR,Linux;macOS;Windows,
Time Providers,attack-pattern--61afc315-860c-4364-825d-0d62b2e91edc,VMR,Windows,
Trap,attack-pattern--63220765-d418-44de-8fae-694b3912317d,VMR,macOS;Linux,
Dynamic Linker Hijacking,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,VMR,Linux;macOS,
Local Account,attack-pattern--635cbe30-392d-4e27-978e-66774357c762,VMR,Linux;macOS;Windows;Network Devices;Containers;ESXi,
Search Threat Vendor Data,attack-pattern--63b24abc-5702-4745-b1e4-ac70b20a43f2,VMR,PRE,
Input Injection,attack-pattern--63e3d25c-d57d-407d-8e6a-2cecd71f90be,VMR,Windows;macOS;Linux,
Communication Through Removable Media,attack-pattern--64196062-5210-42c3-9a02-563a0d1797ef,VMR,Linux;macOS;Windows,
Clear Windows Event Logs,attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2,VMR,Windows,
Email Accounts,attack-pattern--65013dd2-bc61-43e3-afb5-a14c4fa7437a,VMR,PRE,
LLMNR/NBT-NS Poisoning and SMB Relay,attack-pattern--650c784b-7504-4df7-ab2c-4ea882384d1e,VMR,Windows,
File and Directory Permissions Modification,attack-pattern--65917ae0-b854-4139-83fe-bf2441cf0196,VMR,ESXi;Linux;macOS;Windows,
