replicate,confusion_pct,unique_pct
2356,9.3023,90.6977
2357,9.3023,90.6977
2358,9.3023,90.6977
2359,9.3023,90.6977
2360,9.3023,90.6977
2361,9.3023,90.6977
2362,9.3023,90.6977
2363,9.3023,90.6977
2364,9.3023,90.6977
2365,9.3023,90.6977
2366,9.3023,90.6977
2367,9.3023,90.6977
2368,9.3023,90.6977
2369,9.3023,90.6977
2370,9.3023,90.6977
2371,9.3023,90.6977
2372,9.3023,90.6977
2373,9.3023,90.6977
2374,9.3023,90.6977
2375,9.3023,90.6977
2376,9.3023,90.6977
2377,9.3023,90.6977
2378,9.3023,90.6977
2379,9.3023,90.6977
2380,9.3023,90.6977
2381,9.3023,90.6977
2382,9.3023,90.6977
2383,9.3023,90.6977
2384,9.3023,90.6977
2385,9.3023,90.6977
2386,9.3023,90.6977
2387,9.3023,90.6977
2388,9.3023,90.6977
2389,9.3023,90.6977
2390,9.3023,90.6977
2391,9.3023,90.6977
2392,9.3023,90.6977
2393,9.3023,90.6977
2394,9.3023,90.6977
2395,9.3023,90.6977
2396,9.3023,90.6977
2397,9.3023,90.6977
2398,9.3023,90.6977
2399,9.3023,90.6977
2400,9.3023,90.6977
2401,9.3023,90.6977
2402,9.3023,90.6977
2403,9.3023,90.6977
2404,9.3023,90.6977
2405,9.3023,90.6977
2406,9.3023,90.6977
2407,9.3023,90.6977
2408,9.3023,90.6977
2409,9.3023,90.6977
2410,9.3023,90.6977
2411,9.3023,90.6977
2412,9.3023,90.6977
2413,9.3023,90.6977
2414,9.3023,90.6977
2415,9.3023,90.6977
2416,9.3023,90.6977
2417,9.3023,90.6977
2418,9.3023,90.6977
2419,9.3023,90.6977
2420,9.3023,90.6977
2421,9.3023,90.6977
2422,9.3023,90.6977
2423,9.3023,90.6977
2424,9.3023,90.6977
2425,9.3023,90.6977
2426,9.3023,90.6977
2427,9.3023,90.6977
2428,9.3023,90.6977
2429,9.3023,90.6977
2430,9.3023,90.6977
2431,9.3023,90.6977
2432,9.3023,90.6977
2433,9.3023,90.6977
2434,9.3023,90.6977
2435,9.3023,90.6977
2436,9.3023,90.6977
2437,9.3023,90.6977
2438,9.3023,90.6977
2439,9.3023,90.6977
2440,9.3023,90.6977
2441,9.3023,90.6977
2442,9.3023,90.6977
2443,9.3023,90.6977
2444,9.3023,90.6977
2445,9.3023,90.6977
2446,9.3023,90.6977
2447,9.3023,90.6977
2448,9.3023,90.6977
2449,9.3023,90.6977
2450,9.3023,90.6977
2451,9.3023,90.6977
2452,9.3023,90.6977
2453,9.3023,90.6977
2454,9.3023,90.6977
2455,9.3023,90.6977
2456,9.3023,90.6977
2457,9.3023,90.6977
2458,9.3023,90.6977
2459,9.3023,90.6977
2460,9.3023,90.6977
2461,9.3023,90.6977
2462,9.3023,90.6977
2463,9.3023,90.6977
2464,9.3023,90.6977
2465,9.3023,90.6977
2466,9.3023,90.6977
2467,9.3023,90.6977
2468,9.3023,90.6977
2469,9.3023,90.6977
2470,9.3023,90.6977
2471,9.3023,90.6977
2472,9.3023,90.6977
2473,9.3023,90.6977
2474,9.3023,90.6977
2475,9.3023,90.6977
2476,9.3023,90.6977
2477,9.3023,90.6977
2478,9.3023,90.6977
2479,9.3023,90.6977
2480,9.3023,90.6977
2481,9.3023,90.6977
2482,9.3023,90.6977
2483,9.3023,90.6977
2484,9.3023,90.6977
2485,9.3023,90.6977
2486,9.3023,90.6977
2487,9.3023,90.6977
2488,9.3023,90.6977
2489,9.3023,90.6977
2490,9.3023,90.6977
2491,9.3023,90.6977
2492,9.3023,90.6977
2493,9.3023,90.6977
2494,9.3023,90.6977
2495,9.3023,90.6977
2496,9.3023,90.6977
2497,9.3023,90.6977
2498,9.3023,90.6977
2499,9.3023,90.6977
2500,9.3023,90.6977
2501,9.3023,90.6977
2502,9.3023,90.6977
2503,9.3023,90.6977
2504,9.3023,90.6977
2505,9.3023,90.6977
2506,9.3023,90.6977
2507,9.3023,90.6977
2508,9.3023,90.6977
2509,9.3023,90.6977
2510,9.3023,90.6977
2511,9.3023,90.6977
2512,9.3023,90.6977
2513,9.3023,90.6977
2514,9.3023,90.6977
2515,9.3023,90.6977
2516,9.3023,90.6977
2517,9.3023,90.6977
2518,9.3023,90.6977
2519,9.3023,90.6977
2520,9.3023,90.6977
2521,9.3023,90.6977
2522,9.3023,90.6977
2523,9.3023,90.6977
2524,9.3023,90.6977
2525,9.3023,90.6977
2526,9.3023,90.6977
2527,9.3023,90.6977
2528,9.3023,90.6977
2529,9.3023,90.6977
2530,9.3023,90.6977
2531,9.3023,90.6977
2532,9.3023,90.6977
2533,9.3023,90.6977
2534,9.3023,90.6977
2535,9.3023,90.6977
2536,9.3023,90.6977
2537,9.3023,90.6977
2538,9.3023,90.6977
2539,9.3023,90.6977
2540,9.3023,90.6977
2541,9.3023,90.6977
2542,9.3023,90.6977
2543,9.3023,90.6977
2544,9.3023,90.6977
2545,9.3023,90.6977
2546,9.3023,90.6977
2547,9.3023,90.6977
2548,9.3023,90.6977
2549,9.3023,90.6977
2550,9.3023,90.6977
2551,9.3023,90.6977
2552,9.3023,90.6977
2553,9.3023,90.6977
2554,9.3023,90.6977
2555,9.3023,90.6977
2556,9.3023,90.6977
2557,9.3023,90.6977
2558,9.3023,90.6977
2559,9.3023,90.6977
2560,9.3023,90.6977
2561,9.3023,90.6977
2562,9.3023,90.6977
2563,9.3023,90.6977
2564,9.3023,90.6977
2565,9.3023,90.6977
2566,9.3023,90.6977
2567,9.3023,90.6977
2568,9.3023,90.6977
2569,9.3023,90.6977
2570,9.3023,90.6977
2571,9.3023,90.6977
2572,9.3023,90.6977
2573,9.3023,90.6977
2574,9.3023,90.6977
2575,9.3023,90.6977
2576,9.3023,90.6977
2577,9.3023,90.6977
2578,9.3023,90.6977
2579,9.3023,90.6977
2580,9.3023,90.6977
2581,9.3023,90.6977
2582,9.3023,90.6977
2583,9.3023,90.6977
2584,9.3023,90.6977
2585,9.3023,90.6977
2586,9.3023,90.6977
2587,9.3023,90.6977
2588,9.3023,90.6977
2589,9.3023,90.6977
2590,9.3023,90.6977
2591,9.3023,90.6977
2592,9.3023,90.6977
2593,9.3023,90.6977
2594,9.3023,90.6977
2595,9.3023,90.6977
2596,9.3023,90.6977
2597,9.3023,90.6977
2598,9.3023,90.6977
2599,9.3023,90.6977
2600,9.3023,90.6977
2601,9.3023,90.6977
2602,9.3023,90.6977
2603,9.3023,90.6977
2604,9.3023,90.6977
2605,9.3023,90.6977
2606,9.3023,90.6977
2607,9.3023,90.6977
2608,9.3023,90.6977
2609,9.3023,90.6977
2610,9.3023,90.6977
2611,9.3023,90.6977
2612,9.3023,90.6977
2613,9.3023,90.6977
2614,9.3023,90.6977
2615,9.3023,90.6977
2616,9.3023,90.6977
2617,9.3023,90.6977
2618,9.3023,90.6977
2619,9.3023,90.6977
2620,9.3023,90.6977
2621,9.3023,90.6977
2622,9.3023,90.6977
2623,9.3023,90.6977
2624,9.3023,90.6977
2625,9.3023,90.6977
2626,9.3023,90.6977
2627,9.3023,90.6977
2628,9.3023,90.6977
2629,9.3023,90.6977
2630,9.3023,90.6977
2631,9.3023,90.6977
2632,9.3023,90.6977
2633,9.3023,90.6977
2634,9.3023,90.6977
2635,9.3023,90.6977
2636,9.3023,90.6977
2637,9.3023,90.6977
2638,9.3023,90.6977
2639,9.3023,90.6977
2640,9.3023,90.6977
2641,9.3023,90.6977
2642,9.3023,90.6977
2643,9.3023,90.6977
2644,9.3023,90.6977
2645,9.3023,90.6977
2646,9.3023,90.6977
2647,9.3023,90.6977
2648,9.3023,90.6977
2649,9.3023,90.6977
2650,9.3023,90.6977
2651,9.3023,90.6977
2652,9.3023,90.6977
2653,9.3023,90.6977
2654,9.3023,90.6977
2655,9.3023,90.6977
2656,9.3023,90.6977
2657,9.3023,90.6977
2658,9.3023,90.6977
2659,9.3023,90.6977
2660,9.3023,90.6977
2661,9.3023,90.6977
2662,9.3023,90.6977
2663,9.3023,90.6977
2664,9.3023,90.6977
2665,9.3023,90.6977
2666,9.3023,90.6977
2667,9.3023,90.6977
2668,9.3023,90.6977
2669,9.3023,90.6977
2670,9.3023,90.6977
2671,9.3023,90.6977
2672,9.3023,90.6977
2673,9.3023,90.6977
2674,9.3023,90.6977
2675,9.3023,90.6977
2676,9.3023,90.6977
2677,9.3023,90.6977
2678,9.3023,90.6977
2679,9.3023,90.6977
2680,9.3023,90.6977
2681,9.3023,90.6977
2682,9.3023,90.6977
2683,9.3023,90.6977
2684,9.3023,90.6977
2685,9.3023,90.6977
2686,9.3023,90.6977
2687,9.3023,90.6977
2688,9.3023,90.6977
2689,9.3023,90.6977
2690,9.3023,90.6977
2691,9.3023,90.6977
2692,9.3023,90.6977
2693,9.3023,90.6977
2694,9.3023,90.6977
2695,9.3023,90.6977
2696,9.3023,90.6977
2697,9.3023,90.6977
2698,9.3023,90.6977
2699,9.3023,90.6977
2700,9.3023,90.6977
2701,9.3023,90.6977
2702,9.3023,90.6977
2703,9.3023,90.6977
2704,9.3023,90.6977
2705,9.3023,90.6977
2706,9.3023,90.6977
2707,9.3023,90.6977
2708,9.3023,90.6977
2709,9.3023,90.6977
2710,9.3023,90.6977
2711,9.3023,90.6977
2712,9.3023,90.6977
2713,9.3023,90.6977
2714,9.3023,90.6977
2715,9.3023,90.6977
2716,9.3023,90.6977
2717,9.3023,90.6977
2718,9.3023,90.6977
2719,9.3023,90.6977
2720,9.3023,90.6977
2721,9.3023,90.6977
2722,9.3023,90.6977
2723,9.3023,90.6977
2724,9.3023,90.6977
2725,9.3023,91.2791
2726,9.3023,91.2791
2727,9.3023,91.2791
2728,9.3023,91.2791
2729,9.3023,91.2791
2730,9.3023,91.2791
2731,9.3023,91.2791
2732,9.3023,91.2791
2733,9.3023,91.2791
2734,9.3023,91.2791
2735,9.3023,91.2791
2736,9.3023,91.2791
2737,9.3023,91.2791
2738,9.3023,91.2791
2739,9.3023,91.2791
2740,9.3023,91.2791
2741,9.3023,91.2791
2742,9.3023,91.2791
2743,9.3023,91.2791
2744,9.3023,91.2791
2745,9.3023,91.2791
2746,9.3023,91.2791
2747,9.3023,91.2791
2748,9.3023,91.2791
2749,9.3023,91.2791
2750,9.3023,91.2791
2751,9.3023,91.2791
2752,9.3023,91.2791
2753,9.3023,91.2791
2754,9.3023,91.2791
2755,9.3023,91.2791
2756,9.3023,91.2791
2757,9.3023,91.2791
2758,9.3023,91.2791
2759,9.3023,91.2791
2760,9.3023,91.2791
2761,9.3023,91.2791
2762,9.3023,91.2791
2763,9.3023,91.2791
2764,9.3023,91.2791
2765,9.3023,91.2791
2766,9.3023,91.2791
2767,9.3023,91.2791
2768,9.3023,91.2791
2769,9.3023,91.2791
2770,9.3023,91.2791
2771,9.3023,91.2791
2772,9.3023,91.2791
2773,9.3023,91.2791
2774,9.3023,91.2791
2775,9.3023,91.2791
2776,9.3023,91.2791
2777,9.3023,91.2791
2778,9.3023,91.2791
2779,9.3023,91.2791
2780,9.3023,91.2791
2781,9.3023,91.2791
2782,9.3023,91.2791
2783,9.3023,91.2791
2784,9.3023,91.2791
2785,9.3023,91.2791
2786,9.3023,91.2791
2787,9.3023,91.2791
2788,9.3023,91.2791
2789,9.3023,91.2791
2790,9.3023,91.2791
2791,9.3023,91.2791
2792,9.3023,91.2791
2793,9.3023,91.2791
2794,9.3023,91.2791
2795,9.3023,91.2791
2796,9.3023,91.2791
2797,9.3023,91.2791
2798,9.3023,91.2791
2799,9.3023,91.2791
2800,9.3023,91.2791
2801,9.3023,91.2791
2802,9.3023,91.2791
2803,9.3023,91.2791
2804,9.3023,91.2791
2805,9.3023,91.2791
2806,9.3023,91.2791
2807,9.3023,91.2791
2808,9.3023,91.2791
2809,9.3023,91.2791
2810,9.3023,91.2791
2811,9.3023,91.2791
2812,9.3023,91.2791
2813,9.3023,91.2791
2814,9.3023,91.2791
2815,9.3023,91.2791
2816,9.3023,91.2791
2817,9.3023,91.2791
2818,9.3023,91.2791
2819,9.3023,91.2791
2820,9.3023,91.2791
2821,9.3023,91.2791
2822,9.3023,91.2791
2823,9.3023,91.2791
2824,9.3023,91.2791
2825,9.3023,91.2791
2826,9.3023,91.2791
2827,9.3023,91.2791
2828,9.3023,91.2791
2829,9.3023,91.2791
2830,9.3023,91.2791
2831,9.3023,91.2791
2832,9.3023,91.2791
2833,9.3023,91.2791
2834,9.3023,91.2791
2835,9.3023,91.2791
2836,9.8837,91.2791
2837,9.8837,91.2791
2838,9.8837,91.2791
2839,9.8837,91.2791
2840,9.8837,91.2791
2841,9.8837,91.2791
2842,9.8837,91.2791
2843,9.8837,91.2791
2844,9.8837,91.2791
2845,9.8837,91.2791
2846,9.8837,91.2791
2847,9.8837,91.2791
2848,9.8837,91.2791
2849,9.8837,91.2791
2850,9.8837,91.2791
2851,9.8837,91.2791
2852,9.8837,91.2791
2853,9.8837,91.2791
2854,9.8837,91.2791
2855,9.8837,91.2791
2856,9.8837,91.2791
2857,9.8837,91.2791
2858,9.8837,91.2791
2859,9.8837,91.2791
2860,9.8837,91.2791
2861,9.8837,91.2791
2862,9.8837,91.2791
2863,9.8837,91.2791
2864,9.8837,91.2791
2865,9.8837,91.2791
2866,9.8837,91.2791
2867,9.8837,91.2791
2868,9.8837,91.2791
2869,9.8837,91.2791
2870,9.8837,91.2791
2871,9.8837,91.2791
2872,9.8837,91.2791
2873,9.8837,91.2791
2874,9.8837,91.2791
2875,9.8837,91.2791
2876,9.8837,91.2791
